date,Motel6,Jetblue,Jetblue_pred,Motel6_pred
2020-08-25 00:00:00+00:00,39993.59354,59452.65337,,
2020-08-26 00:00:00+00:00,40122.99208,59548.63328,,
2020-08-27 00:00:00+00:00,40215.86239,59666.19934,,
2020-08-28 00:00:00+00:00,40211.01745,59786.5096,,
2020-08-29 00:00:00+00:00,40147.3514,59892.05618,,
2020-08-30 00:00:00+00:00,40057.77687,59970.15329,,
2020-08-31 00:00:00+00:00,39999.25745,60038.48052,,
2020-09-01 00:00:00+00:00,39965.76814,60134.09396,,
2020-09-02 00:00:00+00:00,39910.36371,60264.33776,,
2020-09-03 00:00:00+00:00,39813.45199,60412.97301,,
2020-09-04 00:00:00+00:00,39665.71672,60560.09524,,
2020-09-05 00:00:00+00:00,39488.6039,60681.16881,,
2020-09-06 00:00:00+00:00,39287.03931,60758.78608,,
2020-09-07 00:00:00+00:00,38993.56804,60797.05658,,
2020-09-08 00:00:00+00:00,38565.79003,60821.28091,,
2020-09-09 00:00:00+00:00,38060.54756,60869.15013,,
2020-09-10 00:00:00+00:00,37576.53449,60973.01105,,
2020-09-11 00:00:00+00:00,37174.37633,61121.39472,,
2020-09-12 00:00:00+00:00,36821.81896,61262.31638,,
2020-09-13 00:00:00+00:00,36466.04865,61363.1564,,
2020-09-14 00:00:00+00:00,36153.14936,61435.33795,,
2020-09-15 00:00:00+00:00,35962.48285,61503.04714,,
2020-09-16 00:00:00+00:00,35924.05174,61572.49465,,
2020-09-17 00:00:00+00:00,36003.69458,61637.72167,,
2020-09-18 00:00:00+00:00,36069.40426,61691.69057,,
2020-09-19 00:00:00+00:00,36012.5257,61719.67555,,
2020-09-20 00:00:00+00:00,35899.7063,61708.3986,,
2020-09-21 00:00:00+00:00,35815.70246,61669.94067,,
2020-09-22 00:00:00+00:00,35705.21681,61628.76015,,
2020-09-23 00:00:00+00:00,35527.62568,61590.73378,,
2020-09-24 00:00:00+00:00,35280.98424,61548.12639,,
2020-09-25 00:00:00+00:00,34954.65749,61493.13625,,
2020-09-26 00:00:00+00:00,34632.06371,61413.69065,,
2020-09-27 00:00:00+00:00,34390.07658,61300.87508,,
2020-09-28 00:00:00+00:00,34171.14091,61174.7771,,
2020-09-29 00:00:00+00:00,33986.23896,61067.07117,,
2020-09-30 00:00:00+00:00,33943.94404,60983.09726,,
2020-10-01 00:00:00+00:00,34025.9872,60907.34841,,
2020-10-02 00:00:00+00:00,34169.87474,60817.87677,,
2020-10-03 00:00:00+00:00,34407.99218,60695.20727,,
